ID,Nombre,P_comestible,Energia_kcal,Agua_g,Alcohol_g,Proteinas_g,HC_g,Almidon_g,Azucares_sencillos_g,Azucares_libres_g,Fibra_g,Grasa_total_g,AGS_g,AGM_g,AGP_g,Colesterol_mg,VitA_ug,Retinol_ug,Carotenoides_ug,VitD_ug,VitE_mg,VitK_ug,VitB1_mg,VitB2_mg,Niacina_mg,VitB6_mg,Folato_ug,VitB12_ug,VitC_mg,Biotina_ug,Pantotenico_mg,Calcio_mg,Fosforo_mg,Magnesio_mg,Hierro_mg,Sodio_mg,Cinc_mg,Iodo_ug,Manganeso_mg,Potasio_mg,Selenio_ug,Cobre_mg
040124,Maracuyá,0.61,54.2,86.3,0.0,2.4,9.5,0.0,9.5,0.0,1.5,0.4,0.1,0.1,0.11,0.0,109.0,0.0,653.0,0.0,0.2,0.7,,,,,,,,,,,,,,,,,,,,
040125,Melocotón,0.9,50.8,86.6,0.0,1.0,10.3,0.0,10.3,0.0,1.9,0.2,0.018,0.061,0.079,0.0,17.7,0.0,106.0,0.0,0.57,2.3,,,,,,,,,,,,,,,,,,,,
040126,Melón,0.66,55.5,85.9,0.0,0.88,12.4,0.0,12.4,0.0,0.73,0.1,0.026,0.013,0.015,0.0,112.0,0.0,671.0,0.0,0.14,0.52,,,,,,,,,,,,,,,,,,,,
040127,Membrillo,0.65,47.3,85.8,0.0,0.44,7.3,0.0,7.3,0.0,5.9,0.5,0.037,0.15,0.2,0.0,5.5,0.0,33.0,0.0,0.89,,,,,,,,,,,,,,,,,,,,,
040128,Mora,1.0,45.0,88.4,0.0,1.2,6.2,0.0,6.2,0.0,3.2,1.0,0.0,0.4,0.4,0.0,45.0,0.0,270.0,0.0,0.72,10.0,,,,,,,,,,,,,,,,,,,,
040129,Naranja,0.7,45.5,87.7,0.0,0.87,8.9,0.0,8.9,0.0,2.3,0.2,0.028,0.055,0.076,0.0,33.5,0.0,201.0,0.0,0.81,3.8,,,,,,,,,,,,,,,,,,,,
040130,Nectarina,0.9,49.7,86.6,0.0,0.9,10.2,0.0,10.2,0.0,2.2,0.1,0.011,0.033,0.049,0.0,8.7,0.0,52.0,0.0,0.5,3.0,,,,,,,,,,,,,,,,,,,,
040131,Níspero,0.62,42.6,88.6,0.0,0.56,8.6,0.0,8.6,0.0,2.1,0.2,0.043,0.0091,0.1,0.0,133.0,0.0,800.0,0.0,0.89,3.3,,,,,,,,,,,,,,,,,,,,
040132,Papaya,0.72,35.0,90.4,0.0,0.5,7.1,0.0,7.1,0.0,1.9,0.09,0.027,0.025,0.02,0.0,153.0,0.0,915.0,0.0,1.1,2.6,,,,,,,,,,,,,,,,,,,,
040133,Pera,0.91,49.4,86.7,0.0,0.43,10.6,0.0,10.6,0.0,2.2,0.1,0.014,0.022,0.044,0.0,2.7,0.0,16.2,0.0,0.89,4.9,,,,,,,,,,,,,,,,,,,,
040134,Piña,0.57,50.8,86.9,0.0,0.44,10.4,0.0,10.4,0.0,1.9,0.4,0.0,0.1,0.1,0.0,6.1,0.0,36.8,0.0,0.13,0.1,,,,,,,,,,,,,,,,,,,,
040135,Plátano,0.66,95.2,75.3,0.0,1.1,20.8,3.2,17.6,0.0,2.6,0.27,0.12,0.04,0.09,0.0,38.0,0.0,228.0,0.0,0.23,0.26,,,,,,,,,,,,,,,,,,,,
040136,Plátano macho o hartón,1.0,141.0,64.1,0.0,1.3,31.9,16.9,15.0,0.0,2.3,0.37,0.14,0.032,0.069,0.0,149.0,0.0,895.0,0.0,0.14,,,,,,,,,,,,,,,,,,,,,
040137,Pomelo,0.68,36.7,90.2,0.0,0.63,7.4,0.0,7.4,0.0,1.6,0.15,0.035,0.029,0.056,0.0,219.0,0.0,1313.0,0.0,0.3,0.0,,,,,,,,,,,,,,,,,,,,
040138,Sandia,0.56,28.4,93.1,0.0,0.63,5.6,0.0,5.6,0.0,0.4,0.3,0.1,0.0,0.1,0.0,35.4,0.0,212.0,0.0,0.11,0.2,,,,,,,,,,,,,,,,,,,,
040139,"Tamarindo, pulpa",1.0,277.0,29.0,0.0,2.8,62.5,5.1,57.4,0.0,5.1,0.6,0.27,0.18,0.06,0.0,2.0,0.0,12.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,,
040140,Uva blanca,0.94,70.3,82.2,0.0,0.72,16.1,0.0,16.1,0.0,0.8,0.16,0.054,0.007,0.048,0.0,6.6,0.0,39.5,0.0,0.94,14.6,,,,,,,,,,,,,,,,,,,,
040141,Uva negra,0.94,67.1,83.2,0.0,0.72,15.5,0.0,15.5,0.0,0.4,0.16,0.054,0.007,0.048,0.0,6.6,0.0,39.5,0.0,0.7,14.6,,,,,,,,,,,,,,,,,,,,
040201,Albaricoque seco (orejones),1.0,283.0,26.2,0.0,3.4,62.6,0.35,53.4,0.0,7.3,0.51,0.017,0.074,0.074,0.0,361.0,0.0,2163.0,0.0,4.3,3.1,,,,,,,,,,,,,,,,,,,,
040202,Ciruela seca,0.84,219.0,35.0,0.0,2.2,42.4,0.0,42.4,0.0,17.8,0.52,0.041,0.34,0.11,0.0,78.2,0.0,469.0,0.0,2.3,59.5,,,,,,,,,,,,,,,,,,,,
040203,Coco rallado,1.0,633.0,12.3,0.0,5.6,6.4,0.0,6.4,0.0,13.7,62.0,53.4,3.5,1.5,0.0,0.0,0.0,0.0,0.0,1.3,0.3,,,,,,,,,,,,,,,,,,,,
040204,Dátil,0.84,289.0,23.9,0.0,1.9,65.1,0.0,65.1,0.0,8.7,0.45,0.15,0.15,0.03,0.0,5.7,0.0,34.0,0.0,0.05,2.7,,,,,,,,,,,,,,,,,,,,
040205,Higo seco,1.0,272.0,24.7,0.0,3.6,55.1,0.0,55.1,0.0,12.9,1.3,0.26,0.29,0.62,0.0,8.5,0.0,51.0,0.0,0.35,15.6,,,,,,,,,,,,,,,,,,,,
040206,Melocotón seco (orejones),1.0,257.0,27.2,0.0,3.0,53.2,0.0,53.2,0.0,12.8,0.76,0.082,0.28,0.37,0.0,83.3,0.0,500.0,0.0,0.19,15.7,,,,,,,,,,,,,,,,,,,,
040207,Pasa,1.0,305.0,21.2,0.0,2.5,69.3,0.0,69.3,0.0,6.5,0.5,0.16,0.14,0.14,0.0,5.0,0.0,30.0,0.0,0.12,3.5,,,,,,,,,,,,,,,,,,,,
040301,Almendra con cascara,0.4,610.0,5.7,0.0,18.7,5.4,2.1,3.3,0.0,13.5,54.1,4.1,33.1,12.9,0.0,20.0,0.0,120.0,0.0,26.2,3.0,,,,,,,,,,,,,,,,,,,,
040302,Almendra frita salada sin cascara,1.0,618.0,7.0,0.0,19.0,3.8,0.2,3.6,0.0,15.0,55.2,4.2,34.8,13.5,0.0,0.17,0.0,1.0,0.0,26.2,0.0,,,,,,,,,,,,,,,,,,,,
040303,Almendra sin cascara,1.0,610.0,5.7,0.0,18.7,5.4,2.1,3.3,0.0,13.5,54.1,4.1,33.1,12.9,0.0,20.0,0.0,120.0,0.0,26.2,0.0,,,,,,,,,,,,,,,,,,,,
040304,Almendra tostada sin cascara,1.0,633.0,1.1,0.0,22.9,9.7,3.5,4.2,0.0,13.4,52.9,4.0,33.7,12.6,0.0,1.0,0.0,6.0,0.0,26.3,0.0,,,,,,,,,,,,,,,,,,,,
040305,Anacardo,1.0,578.0,4.4,0.0,17.5,30.5,24.4,6.1,0.0,2.9,42.2,8.8,24.6,7.4,0.0,10.0,0.0,60.0,0.0,0.78,26.0,,,,,,,,,,,,,,,,,,,,
040306,Avellana con cascara,0.61,661.0,5.3,0.0,12.0,10.5,3.4,7.1,0.0,8.2,61.6,4.1,45.9,8.6,0.0,4.8,0.0,29.0,0.0,26.2,9.0,,,,,,,,,,,,,,,,,,,,
040307,Avellana sin cascara,1.0,661.0,5.3,0.0,12.0,10.5,3.4,7.1,0.0,8.2,61.6,4.1,45.9,8.6,0.0,4.8,0.0,29.0,0.0,26.2,9.0,,,,,,,,,,,,,,,,,,,,
040308,Cacahuete con cascara,0.71,563.0,10.8,0.0,25.2,7.9,3.9,4.0,0.0,8.1,46.0,8.7,22.0,13.2,0.0,0.33,0.0,2.0,0.0,10.9,2.0,,,,,,,,,,,,,,,,,,,,
040309,Cacahuete frito salado sin cascara,1.0,627.0,1.7,0.0,24.5,8.9,4.0,4.9,0.0,8.4,53.0,9.5,24.2,16.5,0.0,0.0,0.0,0.0,0.0,7.4,26.0,,,,,,,,,,,,,,,,,,,,
040310,Cacahuete sin cascara,1.0,563.0,10.6,0.0,25.2,7.9,3.9,4.0,0.0,8.1,46.0,8.7,22.0,13.2,0.0,0.33,0.0,2.0,0.0,10.9,26.0,,,,,,,,,,,,,,,,,,,,
040311,Cacahuete tostado y salado sin cascara,1.0,615.0,4.5,0.0,23.9,14.0,9.8,4.2,0.0,8.0,49.7,6.9,24.6,15.7,0.0,0.0,0.0,0.0,0.0,7.8,0.0,,,,,,,,,,,,,,,,,,,,
040312,Castaña,0.82,190.0,52.0,0.0,2.7,36.5,24.2,12.3,0.0,6.7,2.2,0.4,0.6,0.6,0.0,4.0,0.0,24.0,0.0,1.2,11.2,,,,,,,,,,,,,,,,,,,,
040313,Castaña asada,0.9,237.0,43.9,0.0,4.0,39.7,31.8,7.9,0.0,7.1,5.3,3.2,0.6,1.3,0.0,2.3,0.0,14.0,0.0,1.4,11.2,,,,,,,,,,,,,,,,,,,,
040314,Chufa,1.0,443.0,10.3,0.0,6.1,42.5,27.8,14.7,0.0,17.4,23.7,4.0,16.5,2.2,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,
040315,Nueces de macadamia sin cascara,1.0,744.0,6.2,0.0,7.9,4.8,0.8,4.0,0.0,5.3,75.8,6.4,9.2,40.2,0.0,0.0,0.0,0.0,0.0,1.5,,,,,,,,,,,,,,,,,,,,,
040316,Nueces pecanas sin cascara,1.0,732.0,2.9,0.0,9.3,2.9,0.31,2.6,0.0,9.5,73.8,6.8,41.7,21.8,0.0,0.9,4.8,0.0,29.0,,,,,,,,,,,,,,,,,,,,,,
040317,Nuez con cascara,0.45,649.0,12.9,0.0,14.4,4.4,0.24,1.2,0.0,5.8,62.5,6.8,10.9,41.7,0.0,4.5,0.0,27.2,0.0,3.5,2.0,,,,,,,,,,,,,,,,,,,,
040318,Nuez sin cascara,1.0,649.0,12.9,0.0,14.4,4.4,0.24,1.2,0.0,5.8,62.5,6.8,10.9,41.7,0.0,4.5,0.0,27.2,0.0,3.5,2.0,,,,,,,,,,,,,,,,,,,,
040319,Piñón con cascara,0.3,706.0,2.7,0.0,14.0,3.9,0.1,3.8,0.0,8.5,68.6,4.6,19.9,41.2,0.0,1.7,0.0,10.0,0.0,13.7,2.0,,,,,,,,,,,,,,,,,,,,
040320,Piñón sin cascara,1.0,706.0,2.7,0.0,14.0,3.9,0.1,3.8,0.0,8.5,68.6,4.6,19.9,41.2,0.0,1.7,0.0,10.0,0.0,13.7,2.0,,,,,,,,,,,,,,,,,,,,
040321,Pipa de girasol pelada con sal,1.0,640.0,0.9,0.0,17.3,9.1,8.4,0.74,0.0,11.5,56.8,6.0,10.8,37.5,0.0,0.0,0.0,0.0,0.0,37.8,2.7,,,,,,,,,,,,,,,,,,,,
040322,Pipa de girasol pelada sin sal,1.0,652.0,2.2,0.0,17.3,12.2,9.3,2.9,0.0,11.5,56.8,6.0,10.8,37.5,0.0,0.0,0.0,0.0,0.0,37.8,2.7,,,,,,,,,,,,,,,,,,,,
040323,Pipa de girasol sin sal,0.52,569.0,10.8,0.0,19.8,12.3,11.0,1.3,0.0,6.3,47.5,6.6,10.7,28.2,0.0,2.5,0.0,15.0,0.0,37.8,2.7,,,,,,,,,,,,,,,,,,,,
040324,Pipas de calabaza sin cascara tostadas sin sal,1.0,635.0,0.0,0.0,29.9,14.7,13.4,1.3,0.0,6.5,49.1,8.5,15.7,19.9,0.0,0.83,0.0,5.0,0.0,13.7,,,,,,,,,,,,,,,,,,,,,
040325,Pistacho,0.55,603.0,5.9,0.0,17.7,11.6,3.4,8.1,0.0,10.6,51.6,6.1,34.5,7.6,0.0,25.0,0.0,150.0,0.0,5.2,13.2,,,,,,,,,,,,,,,,,,,,
040326,Pistacho tostado salado,0.51,613.0,8.1,0.0,18.0,12.5,4.9,7.6,0.0,8.5,52.7,6.7,35.7,8.1,0.0,13.0,0.0,,0.0,5.2,13.2,,,,,,,,,,,,,,,,,,,,
040327,Semilla de lino,1.0,514.0,7.0,0.0,18.3,1.6,0.1,1.6,0.0,27.3,42.2,3.7,7.5,28.7,0.0,0.0,0.0,0.0,0.0,2.3,4.3,,,,,,,,,,,,,,,,,,,,
040328,Semilla de sésamo,1.0,605.0,4.7,0.0,17.7,15.8,15.5,0.3,0.0,11.8,49.7,7.0,18.8,21.8,0.0,0.83,0.0,5.0,,0.25,0.0,,,,,,,,,,,,,,,,,,,,
040329,Tahine,1.0,642.0,3.0,0.0,17.4,21.5,,,0.0,4.7,53.0,7.4,20.0,23.2,0.0,3.0,0.0,67.0,0.0,,,,,,,,,,,,,,,,,,,,,,
040401,Compota de manzana,1.0,81.3,78.0,0.0,0.2,19.1,0.0,19.1,7.6,1.6,0.1,0.0,0.0,0.0,0.0,6.0,0.0,36.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,,
040402,Crema de almendras,1.0,341.0,31.0,0.0,4.6,50.7,12.7,38.0,15.2,0.5,13.2,0.9,7.6,2.1,0.0,0.0,0.0,,0.0,5.2,,,,,,,,,,,,,,,,,,,,,
040403,Crema de cacahuete,1.0,619.0,1.5,0.0,30.1,13.6,6.5,7.1,2.8,7.0,47.8,9.5,26.4,10.3,0.0,0.0,0.0,0.0,0.0,5.0,0.8,,,,,,,,,,,,,,,,,,,,
040404,Dulce de membrillo y pastas de frutas,1.0,259.0,33.6,0.0,1.0,62.2,0.0,62.2,24.9,3.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
040405,Lichi en conserva,1.0,117.0,69.0,0.0,0.9,27.0,1.0,26.0,9.2,1.3,0.3,0.059,0.072,0.079,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
040406,Macedonia de frutas en almíbar,1.0,68.6,82.5,0.0,0.62,15.8,0.0,15.8,3.8,1.0,0.1,0.013,0.017,0.04,0.0,11.5,0.0,69.0,0.0,0.4,2.3,,,,,,,,,,,,,,,,,,,,
040407,Macedonia de frutas en su jugo,1.0,63.1,83.8,0.0,0.7,14.5,2.5,12.0,0.0,1.0,0.03,0.004,0.005,0.011,0.0,3.3,0.0,20.0,0.0,0.32,2.3,,,,,,,,,,,,,,,,,,,,
040408,Melocotón en almíbar,1.0,58.6,85.4,0.0,0.38,14.2,0.0,14.2,3.9,0.0,0.03,0.003,0.01,0.01,0.0,11.3,0.0,67.8,0.0,0.49,1.7,,,,,,,,,,,,,,,,,,,,
040409,Mermelada de albaricoque y melocotón,1.0,258.0,35.1,0.0,0.32,63.2,0.0,63.2,25.3,1.2,0.2,0.01,0.11,0.0,0.0,10.0,0.0,60.0,0.0,0.13,0.5,,,,,,,,,,,,,,,,,,,,
040411,Mermelada de cereza,1.0,251.0,38.0,0.0,0.38,60.9,0.9,60.0,24.4,0.55,0.16,,,,0.0,0.0,0.0,0.0,0.0,0.16,1.1,,,,,,,,,,,,,,,,,,,,
040412,Mermelada de ciruela,1.0,251.0,36.9,0.0,0.31,59.6,0.0,59.6,23.8,2.6,0.63,0.03,0.33,0.0,0.0,21.0,0.0,126.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,
040413,Mermelada de frambuesa,1.0,251.0,37.2,0.0,0.45,60.9,0.0,60.9,24.4,1.2,0.3,0.015,0.17,0.0,0.0,10.0,0.0,60.0,0.0,0.16,0.5,,,,,,,,,,,,,,,,,,,,
040414,Mermelada de fresa,1.0,255.0,36.1,0.0,0.31,62.6,0.0,62.6,25.0,0.8,0.2,0.01,0.11,0.0,0.0,10.0,0.0,60.0,0.0,0.16,0.5,,,,,,,,,,,,,,,,,,,,
040415,Mermelada de fresa baja en calorías,1.0,33.0,90.6,0.0,0.7,6.4,0.0,6.4,2.6,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,,,,,,,,,,,,,,,,,,,,
040416,Mermelada de mora,1.0,239.0,40.8,0.0,0.5,58.7,6.7,52.0,23.5,1.1,0.0,0.0,0.0,0.0,0.0,20.4,0.0,123.0,,,,,,,,,,,,,,,,,,,,,,,
040417,Mermelada de naranja,1.0,234.0,41.4,0.0,0.38,58.0,1.0,57.0,23.2,0.2,0.0,0.0,0.0,0.0,0.0,3.2,0.0,19.1,0.0,0.06,0.0,,,,,,,,,,,,,,,,,,,,
040418,Mermelada de tomate,1.0,197.0,49.0,0.0,0.56,48.0,0.7,47.3,19.2,0.61,0.14,0.025,0.016,0.066,0.0,133.0,0.0,795.0,0.0,0.56,3.5,,,,,,,,,,,,,,,,,,,,
040419,Pera en almíbar,1.0,62.9,83.6,0.0,0.25,14.5,2.0,12.5,1.9,1.5,0.1,0.007,0.02,0.023,0.0,1.7,0.0,10.0,0.0,0.08,0.3,,,,,,,,,,,,,,,,,,,,
040420,Piña en almíbar,1.0,65.8,83.3,0.0,0.38,15.4,0.0,15.4,5.0,0.82,0.11,0.009,0.013,0.04,0.0,2.0,0.0,12.0,0.0,0.06,0.3,,,,,,,,,,,,,,,,,,,,
040421,Piña en su jugo,1.0,42.9,89.0,0.0,0.4,9.7,0.0,9.7,0.0,0.8,0.099,0.049,0.01,0.029,0.0,2.0,0.0,12.0,0.0,0.05,0.3,,,,,,,,,,,,,,,,,,,,
040501,Zumo de limón natural,1.0,33.1,92.5,0.0,0.4,6.1,0.0,2.4,0.0,0.4,0.29,0.038,0.011,0.085,0.0,0.5,0.0,3.0,0.0,0.15,0.1,,,,,,,,,,,,,,,,,,,,
040502,Zumo de naranja,1.0,43.6,89.0,0.0,0.69,9.4,0.0,9.4,0.0,0.7,0.2,0.024,0.037,0.04,0.0,2.6,0.0,15.5,0.0,0.25,0.1,,,,,,,,,,,,,,,,,,,,
050101,Leche concentrada,1.0,132.0,76.6,0.0,6.5,9.3,0.0,9.3,0.0,0.0,7.6,4.2,2.4,0.21,25.0,53.7,48.0,34.0,0.1,0.17,1.5,,,,,,,,,,,,,,,,,,,,
050102,Leche condensada azucarada,1.0,336.0,28.6,0.0,8.5,52.8,0.0,52.8,22.7,0.0,10.1,6.3,2.9,0.31,36.0,122.0,110.0,70.0,5.4,0.19,2.0,,,,,,,,,,,,,,,,,,,,
050103,Leche condensada desnatada con azúcar,1.0,282.0,29.8,0.0,10.0,60.0,0.0,60.0,25.8,0.0,0.2,0.09,0.09,0.0,1.0,31.3,28.0,20.0,0.85,0.04,0.66,,,,,,,,,,,,,,,,,,,,
050104,Leche de cabra,1.0,66.7,88.2,0.0,3.7,4.2,0.0,4.2,0.0,0.0,3.9,2.6,0.94,0.13,11.0,73.8,68.0,35.0,0.25,0.03,0.1,,,,,,,,,,,,,,,,,,,,
050105,Leche de oveja,1.0,96.7,83.7,0.0,5.3,4.7,0.0,4.7,0.0,0.0,6.3,3.5,1.6,0.25,11.0,51.0,50.0,5.0,0.18,0.11,0.1,,,,,,,,,,,,,,,,,,,,
050106,Leche de vaca desnatada,1.0,37.0,91.0,0.0,3.9,4.9,0.0,4.9,0.0,0.0,0.2,0.09,0.06,0.01,2.6,2.2,1.0,7.0,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,
050107,Leche de vaca entera,1.0,65.4,88.4,0.0,3.1,4.7,0.0,4.7,0.0,0.0,3.8,2.3,1.1,0.13,14.0,46.0,41.3,28.0,0.03,0.1,0.34,,,,,,,,,,,,,,,,,,,,
050108,Leche de vaca semidesnatada,1.0,47.6,90.1,0.0,3.5,4.8,0.0,4.8,0.0,0.0,1.6,1.1,0.45,0.04,6.3,18.9,17.6,7.8,0.02,0.04,0.2,,,,,,,,,,,,,,,,,,,,
050109,Leche desnatada sin lactosa,1.0,36.6,91.0,0.0,3.9,4.8,0.0,4.8,0.0,0.0,0.2,0.09,0.06,0.01,2.6,2.2,1.0,7.0,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,
050110,Leche en polvo desnatada,1.0,352.0,4.9,0.0,36.1,50.4,0.0,50.4,0.0,0.0,0.64,0.4,0.2,0.029,12.0,122.0,110.0,70.0,5.4,0.19,0.5,,,,,,,,,,,,,,,,,,,,
050111,Leche en polvo entera,1.0,477.0,6.5,0.0,25.2,35.1,0.0,35.1,0.0,0.0,26.2,15.8,8.4,0.72,97.0,253.0,230.0,140.0,1.2,0.5,1.7,,,,,,,,,,,,,,,,,,,,
050112,Leche en polvo semidesnatada,1.0,442.0,10.0,0.0,29.8,43.9,0.0,43.9,0.0,0.0,16.3,9.7,5.1,0.6,60.0,4.0,4.0,1.0,0.1,0.4,1.0,,,,,,,,,,,,,,,,,,,,
050113,Leche entera sin lactosa,1.0,65.4,88.4,0.0,3.1,4.7,0.0,4.7,0.0,0.0,3.8,2.3,1.1,0.13,14.0,46.0,41.3,28.0,0.03,0.1,0.34,,,,,,,,,,,,,,,,,,,,
050114,Leche evaporada entera,1.0,151.0,74.1,0.0,8.4,8.1,0.0,8.1,0.0,0.0,9.4,5.9,2.7,0.3,34.0,122.0,105.0,100.0,0.1,0.19,1.6,,,,,,,,,,,,,,,,,,,,
050115,Leche materna calostro,1.0,53.5,90.0,0.0,2.6,4.9,0.0,4.9,0.0,0.0,2.6,1.1,1.1,0.3,31.0,178.0,155.0,135.0,,1.1,,,,,,,,,,,,,,,,,,,,,
050116,Leche materna madura,1.0,68.8,87.9,0.0,1.2,7.0,0.0,7.0,0.0,0.0,4.0,2.0,1.5,0.44,25.0,69.5,69.0,3.0,0.07,0.28,0.48,,,,,,,,,,,,,,,,,,,,
050117,Leche materna transicional,1.0,66.5,88.0,0.0,1.7,6.6,0.0,6.6,0.0,0.0,3.7,1.5,1.5,0.4,29.0,143.0,139.0,26.0,0.05,0.51,,,,,,,,,,,,,,,,,,,,,
050118,Leche merengada,1.0,83.6,83.0,0.0,3.0,10.7,0.0,10.7,6.0,0.0,3.2,,,,,46.1,,,0.03,0.09,,,,,,,,,,,,,,,,,,,,,
050119,Leche semidesnatada sin lactosa,1.0,47.6,90.1,0.0,3.5,4.8,0.0,4.8,0.0,0.0,1.6,1.1,0.45,0.04,6.3,18.9,17.6,7.8,0.02,0.04,0.2,,,,,,,,,,,,,,,,,,,,
050201,Kéfir,1.0,63.9,88.4,0.0,3.3,4.8,0.0,4.8,0.0,0.0,3.5,,,,,16.5,16.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
050202,Leche fermentada con lactobacillus acidophilus,1.0,98.5,79.5,0.0,3.1,14.1,0.0,14.1,9.7,0.0,3.3,2.1,0.87,0.1,3.0,27.0,27.0,,0.03,0.0,0.6,,,,,,,,,,,,,,,,,,,,
050203,Leche fermentada con lactobacillus casei,1.0,88.3,82.1,0.0,3.0,11.7,0.0,11.7,7.3,0.0,3.3,2.1,0.87,0.1,3.0,27.0,27.0,,0.03,0.0,0.6,,,,,,,,,,,,,,,,,,,,
050205,Leche fermentada tipo bio con frutas,1.0,84.9,80.9,0.0,4.0,13.4,0.4,13.0,8.6,0.0,1.7,1.1,0.5,0.0,4.0,11.0,11.0,2.0,0.15,0.07,0.6,,,,,,,,,,,,,,,,,,,,
050206,Leche fermentada tipo bio desnatado con frutas,1.0,53.0,86.8,0.0,4.7,8.5,0.2,8.3,3.2,0.0,0.021,0.007,0.013,0.0,1.0,11.0,11.0,2.0,0.05,0.0,0.23,,,,,,,,,,,,,,,,,,,,
050207,Leche fermentada tipo bio desnatado natural,1.0,42.7,89.7,0.0,4.9,5.1,0.0,5.1,0.0,0.0,0.3,0.18,0.06,0.0,1.0,11.0,11.0,2.0,0.0,0.0,0.23,,,,,,,,,,,,,,,,,,,,
050208,Leche fermentada tipo bio natural,1.0,62.6,88.6,0.0,3.6,4.4,0.0,4.4,0.0,0.0,3.4,2.2,0.9,0.1,3.0,27.0,27.0,,0.2,0.3,0.6,,,,,,,,,,,,,,,,,,,,
050209,Yogur de soja,1.0,90.0,78.2,0.0,2.4,17.1,,1.4,0.0,0.6,1.2,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
050210,Yogur desnatado con cereales,1.0,56.5,85.7,0.0,4.6,6.9,1.2,5.7,0.0,0.3,1.1,0.19,0.21,0.081,1.0,1.3,1.0,2.0,0.0,0.2,,,,,,,,,,,,,,,,,,,,,
050211,Yogur desnatado con fruta,1.0,71.6,81.8,0.0,3.8,13.1,0.0,13.1,6.8,1.1,0.2,0.16,0.022,0.0,0.3,2.0,2.0,0.0,0.0,0.0,0.3,,,,,,,,,,,,,,,,,,,,
050212,Yogur desnatado de sabores,1.0,90.1,78.6,0.0,3.8,16.7,0.0,16.7,10.4,0.0,0.9,0.4,0.3,0.1,4.0,2.0,2.0,0.0,0.01,0.01,0.3,,,,,,,,,,,,,,,,,,,,
050213,Yogur desnatado natural,1.0,45.3,89.1,0.0,4.3,6.3,0.0,6.3,0.0,0.0,0.32,0.11,0.15,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.3,,,,,,,,,,,,,,,,,,,,
050214,Yogur desnatado natural azucarado,1.0,75.9,81.4,0.0,4.5,13.8,0.0,13.8,7.5,0.0,0.3,0.11,0.1,0.0,1.0,2.0,2.0,0.0,0.0,0.03,0.3,,,,,,,,,,,,,,,,,,,,
050215,Yogur desnatado natural edulcorado,1.0,40.5,90.3,0.0,4.3,5.1,0.0,4.8,0.0,0.0,0.32,0.11,0.15,0.0,1.0,0.8,0.72,0.48,0.0,0.0,0.3,,,,,,,,,,,,,,,,,,,,
050216,Yogur entero con cereales,1.0,89.6,79.7,0.0,3.9,9.1,0.81,8.3,0.0,1.8,3.8,2.5,0.86,0.12,14.5,25.6,25.6,,0.07,0.077,,,,,,,,,,,,,,,,,,,,,
050217,Yogur entero con fruta,1.0,94.9,78.0,0.0,3.8,14.3,0.0,14.3,8.8,0.9,2.3,1.4,0.6,0.1,10.7,14.5,13.6,5.6,0.04,0.03,0.7,,,,,,,,,,,,,,,,,,,,
050218,Yogur entero de sabores,1.0,115.0,75.6,0.0,5.4,15.6,0.0,15.6,10.1,0.0,3.4,2.1,0.97,0.08,11.0,27.4,25.7,10.2,0.05,0.08,0.7,,,,,,,,,,,,,,,,,,,,
050219,Yogur entero natural azucarado,1.0,85.9,80.9,0.0,3.5,13.7,0.0,13.7,8.2,0.0,1.9,1.2,0.6,0.0,4.0,27.0,27.0,,0.35,0.03,0.7,,,,,,,,,,,,,,,,,,,,
050220,Yogur liquido con pulpa de fruta,1.0,81.9,81.4,0.0,2.8,14.3,0.0,14.3,8.8,0.0,1.5,1.0,0.4,0.0,0.0,2.7,2.0,4.0,0.1,0.0,0.3,,,,,,,,,,,,,,,,,,,,
050221,Yogur liquido de sabores,1.0,75.4,82.9,0.0,2.9,12.8,0.0,12.8,7.3,0.0,1.4,0.9,0.4,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.3,,,,,,,,,,,,,,,,,,,,
050222,Yogur liquido natural azucarado,1.0,69.2,84.2,0.0,3.0,11.6,0.0,11.6,6.1,0.0,1.2,0.8,0.3,0.0,0.0,27.0,27.0,,0.12,0.0,0.3,,,,,,,,,,,,,,,,,,,,
050223,Yogur natural entero,1.0,61.4,87.9,0.0,4.0,5.5,0.0,5.5,0.0,0.0,2.6,1.5,0.72,0.13,10.2,9.8,9.1,4.1,0.06,0.04,0.7,,,,,,,,,,,,,,,,,,,,
